kegg	mnx_id	ec	bigg	seed	metacyc	rhea	description	ambiguous
R00083	MNXR146841	1.10.3.2	CU1Opp|R_CU1Opp				benzenediol:oxygen oxidoreductase||Oxygen + 4 Benzenediol <=> 4 Semiquinone + 2 H2O||1 keggC:C00007@IN + 4 keggC:C01785@IN <=> 4 keggC:C05309@IN + 2 keggC:C00001@IN	ec_fallback(participants>=0.50,bigg:2)
R00084	MNXR100658	2.5.1.61|4.3.1.8	HMBS|HMBS_1|PPBNGD|R_HMBS|R_HMBS_1|R_PPBNGD	rxn00060|rxn20490|rxn30032|rxn30743|rxn35409	OHMETHYLBILANESYN-RXN	13185|13186|13187|13188	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)||4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia||porphobilinogen ammonia-lyase (polymerizing)||4 keggC:C00931@IN + 1 keggC:C00001@IN <=> 1 keggC:C01024@IN + 4 keggC:C00014@IN	bigg(6),seed(5),rhea(4),ec(2)
R00085	MNXR96128	3.6.1.5	ATPH1|ATPH1e|R_ATPH1|R_ATPH1e	rxn00061|rxn27710	APYRASE-RXN	20988|20989|20990|20991	ATP diphosphohydrolase (phosphate-forming)||ATP + 2 H2O <=> AMP + 2 Orthophosphate||1 keggC:C00002@IN + 2 keggC:C00001@IN <=> 1 keggC:C00020@IN + 2 keggC:C00009@IN	bigg(4),seed(2),rhea(4)
R00086	MNXR153054	2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|5.6.2.3|5.6.2.4|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f	ATPM|ATPM_h|ATPPHm|NTP1|R_ATPM|R_ATPM_h|R_ATPPHm|R_NTP1	rxn00062|rxn11300|rxn27586|rxn27587|rxn27588|rxn27616|rxn38021|rxn38022|rxn38023|rxn38233	ATPASE-RXN	13065|13066|13067|13068	ATP phosphohydrolase||ATP + H2O <=> ADP + Orthophosphate||1 keggC:C00002@IN + 1 keggC:C00001@IN <=> 1 keggC:C00008@IN + 1 keggC:C00009@IN	bigg(8),seed(10),rhea(4),ec(108)
R00087	MNXR145807	3.1.4.1|3.6.1|3.6.1.8|3.6.1.9	HMR_3966|NTPP6|R_HMR_3966|R_NTPP6	rxn00063|rxn33891	ATP-PYROPHOSPHATASE-RXN	14245|14246|14247|14248	ATP diphosphohydrolase (diphosphate-forming)||ATP + H2O <=> AMP + Diphosphate||ATP pyrophosphohydrolase||1 keggC:C00002@IN + 1 keggC:C00001@IN <=> 1 keggC:C00020@IN + 1 keggC:C00013@IN	bigg(4),seed(2),rhea(4),ec(4)
R00088	MNXR190722	3.5.4.17|3.5.4.18	ATPHs|R_ATPHs	rxn00064|rxn29995	ATP-DEAMINASE-RXN	13037|13038|13039|13040	ATP aminohydrolase||ATP + H2O <=> ITP + Ammonia||1 keggC:C00002@IN + 1 keggC:C00001@IN <=> 1 keggC:C00081@IN + 1 keggC:C00014@IN	bigg(2),seed(2),rhea(4),ec(2)
R00089	MNXR95444	4.6.1.1	ADECn|ADNCYC|R_ADECn|R_ADNCYC	rxn00065|rxn35429	ADENYLATECYC-RXN	15389|15390|15391|15392	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)||ATP <=> 3',5'-Cyclic AMP + Diphosphate||1 keggC:C00002@IN <=> 1 keggC:C00575@IN + 1 keggC:C00013@IN	bigg(4),seed(2),rhea(4)
R00090	MNXR101879	1.11.1.1|1.14.12.17	NADHPO|R_NADHPO	rxn00066	NADH-PEROXIDASE-RXN	18509|18510|18511|18512	NADH:hydrogen-peroxide oxidoreductase||Hydrogen peroxide + NADH + H+ <=> NAD+ + 2 H2O||1 keggC:C00027@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN <=> 1 keggC:C00003@IN + 2 keggC:C00001@IN	bigg(2),rhea(4),ec(2)
R00091	MNXR192059	1.8.1.14|1.8.1.M1		rxn00067	RXN-16679	14701|14702|14703|14704	CoA:NAD+ oxidoreductase||NAD+ + 2 CoA <=> CoA-disulfide + NADH + H+||1 keggC:C00003@IN + 2 keggC:C00010@IN <=> 1 keggC:C02015@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	rhea(4),ec(2)
R00092	MNXR106384	1.14.12.17|1.16.1.7|1.5.1	R_TRNFE|TRNFE	rxn00068|rxn27853|rxn32326|rxn32328|rxn32703			Fe2+:NAD+ oxidoreductase||NAD+ + 2 Fe2+ <=> NADH + H+ + 2 Fe3+||NADH:Fe3+ oxidoreductase||1 keggC:C00003@IN + 2 keggC:C14818@IN <=> 1 keggC:C00004@IN + 1 keggC:C00080@IN + 2 keggC:C14819@IN	bigg(2),seed(5),ec(3)
R00093	MNXR100289	1.4.1.14	GLTS_m|GLUS|GLUSx|R_GLTS_m|R_GLUS|R_GLUSx	rxn00069|rxn27888	GLUTAMATE-SYNTHASE-NADH-RXN	13753|13754|13755|13756	L-glutamate:NAD+ oxidoreductase (transaminating)||2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+||2 keggC:C00025@IN + 1 keggC:C00003@IN <=> 1 keggC:C00064@IN + 1 keggC:C00026@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	bigg(6),seed(2),rhea(4)
R00094	MNXR100097	1.8.1.7	GDR|GDRh|GDRm|R_GDR|R_GDRh|R_GDRm	rxn00070|rxn34788|rxn34789		75699|75700|75701|75702	glutathione:NAD+ oxidoreductase||2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+||2 keggC:C00051@IN + 1 keggC:C00003@IN <=> 1 keggC:C00127@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	bigg(6),seed(3),rhea(4)
R00095	MNXR191863	1.6.5.4			1.6.5.4-RXN	14581|14582|14583|14584	NADH:monodehydroascorbate oxidoreductase||NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+||1 keggC:C00003@IN + 2 keggC:C00072@IN <=> 1 keggC:C00004@IN + 2 keggC:C01041@IN + 1 keggC:C00080@IN	rhea(4)
R00097	MNXR189509						Cob(II)alamin <=> Aquacob(III)alamin||1 keggC:C00541@IN <=> 1 keggC:C00992@IN	
R00099	MNXR198527						Cob(I)alamin <=> Cob(II)alamin||1 keggC:C00853@IN <=> 1 keggC:C00541@IN	
R00100	MNXR146847	1.6.2.2					NADH:ferricytochrome-b5 oxidoreductase||NADH + 2 Ferricytochrome b5 <=> NAD+ + 2 Ferrocytochrome b5 + H+||1 keggC:C00004@IN + 2 keggC:C00996@IN <=> 1 keggC:C00003@IN + 2 keggC:C00999@IN + 1 keggC:C00080@IN	
R00101	MNXR146851	1.6.2.6	GCC2cm|PDHcr|PDHe3hr|R_GCC2cm|R_PDHcr|R_PDHe3hr				NADH:ferrileghemoglobin oxidoreductase||NADH + 2 Ferrileghemoglobin <=> NAD+ + 2 Ferroleghemoglobin + H+||1 keggC:C00004@IN + 2 keggC:C02683@IN <=> 1 keggC:C00003@IN + 2 keggC:C02685@IN + 1 keggC:C00080@IN	ec_fallback(participants>=0.50,bigg:6)
R00102	MNXR145761	2.4.2|3.2.2.5|3.2.2.6|3.5.1.-	NADN|NADNe|NADNm|R_NADN|R_NADNe|R_NADNm	rxn00075|rxn14307|rxn20263	NADNUCLEOSID-RXN|RXN-13859	16301|16302|16303|16304	NAD+ glycohydrolase||NAD+ + H2O <=> Nicotinamide + ADP-ribose||1 keggC:C00003@IN + 1 keggC:C00001@IN <=> 1 keggC:C00153@IN + 1 keggC:C00301@IN	bigg(6),seed(3),metacyc(2),rhea(4),ec(4)
R00103	MNXR145755	3.6.1.22|3.6.1.9	NADDP|NADDPe|NADDPp|NADDPp_1|NPH|R_NADDP|R_NADDPe|R_NADDPp|R_NADDPp_1|R_NPH	rxn00076|rxn20269|rxn30410|rxn33290|rxn38181	NADPYROPHOSPHAT-RXN	11800|11801|11802|11803	NAD+ phosphohydrolase||NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide||1 keggC:C00003@IN + 1 keggC:C00001@IN <=> 1 keggC:C00020@IN + 1 keggC:C00455@IN	bigg(10),seed(5),rhea(4),ec(2)
R00104	MNXR101882	2.7.1.23|2.7.1.M29	NADK|NADK_1|NADK_h|NADKm|R_NADK|R_NADK_1|R_NADK_h|R_NADKm	rxn00077|rxn28003|rxn30190|rxn38696	NAD-KIN-RXN	18629|18630|18631|18632	ATP:NAD+ 2'-phosphotransferase||ATP + NAD+ <=> ADP + NADP+||1 keggC:C00002@IN + 1 keggC:C00003@IN <=> 1 keggC:C00008@IN + 1 keggC:C00006@IN	bigg(8),seed(4),rhea(4),ec(2)
R00105	MNXR106390	2.7.1.86|2.7.1.M29	NADK|NADK_1|NADK_h|NADKm|R_NADK|R_NADK_1|R_NADK_h|R_NADKm	rxn00078|rxn33597	NADH-KINASE-RXN	12260|12261|12262|12263	ATP:NADH 2'-phosphotransferase||ATP + NADH <=> ADP + NADPH||1 keggC:C00002@IN + 1 keggC:C00004@IN <=> 1 keggC:C00008@IN + 1 keggC:C00005@IN	seed(2),rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:8)
R00106	MNXR106391	1.6.2.4	CYTP450R|CYTP450Rh|R_CYTP450R|R_CYTP450Rh				NADPH:ferricytochrome oxidoreductase||NADPH + 2 Ferricytochrome <=> NADP+ + 2 Ferrocytochrome + H+||1 keggC:C00005@IN + 2 keggC:C00923@IN <=> 1 keggC:C00006@IN + 2 keggC:C00924@IN + 1 keggC:C00080@IN	ec_fallback(participants>=0.50,bigg:4)
R00108	MNXR106393	1.6.2.5		rxn05774|rxn20265	NADPH--CYTOCHROME-C2-REDUCTASE-RXN		NADPH:ferricytochrome-c2 oxidoreductase||NADPH + 2 Ferricytochrome c2 <=> NADP+ + 2 Ferrocytochrome c2 + H+||1 keggC:C00005@IN + 2 keggC:C00997@IN <=> 1 keggC:C00006@IN + 2 keggC:C01000@IN + 1 keggC:C00080@IN	seed(2)
R00109	MNXR146856	1.6.2.6					NADPH:ferrileghemoglobin oxidoreductase||NADPH + 2 Ferrileghemoglobin <=> NADP+ + 2 Ferroleghemoglobin + H+||1 keggC:C00005@IN + 2 keggC:C02683@IN <=> 1 keggC:C00006@IN + 2 keggC:C02685@IN + 1 keggC:C00080@IN	
R00111	MNXR198684	1.14.13.165|1.14.13.39	NOS2|NOS2_1|R_NOS2|R_NOS2_1	rxn14091	RXN-13565	24664|24665|24666|24667	N-(omega)-hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)||NADPH + 2 N(omega)-Hydroxyarginine + 2 Oxygen + H+ <=> NADP+ + 2 Nitric oxide + 2 L-Citrulline + 2 H2O||1 keggC:C00005@IN + 2 keggC:C05933@IN + 2 keggC:C00007@IN + 1 keggC:C00080@IN <=> 1 keggC:C00006@IN + 2 keggC:C00533@IN + 2 keggC:C00327@IN + 2 keggC:C00001@IN	rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:4)
R00112	MNXR101898	1.6.1.1|1.6.1.2|1.6.1.3	NADTRHD|NADTRHD2|NNOR|R_NADTRHD|R_NADTRHD2|R_NNOR|R_THD1_h|THD1_h	rxn00083|rxn27488|rxn32580	PYRNUTRANSHYDROGEN-RXN	11692|11693|11694|11695	NADPH:NAD+ oxidoreductase||NADPH + NAD+ <=> NADP+ + NADH||1 keggC:C00005@IN + 1 keggC:C00003@IN <=> 1 keggC:C00006@IN + 1 keggC:C00004@IN	bigg(8),seed(3),rhea(4),ec(3)
R00113	MNXR106396	1.11.1.1|1.11.1.2	NADHPO|R_NADHPO	rxn00084|rxn32993	NADPH-PEROXIDASE-RXN	15173|15174|15175|15176	NADPH:hydrogen-peroxide oxidoreductase||Hydrogen peroxide + NADPH + H+ <=> NADP+ + 2 H2O||1 keggC:C00027@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN <=> 1 keggC:C00006@IN + 2 keggC:C00001@IN	seed(2),rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:2)
R00114	MNXR100291	1.4.1.13	GLUS_nadph|GLUSy|R_GLUS_nadph|R_GLUSy	rxn00085|rxn27889|rxn33967	GLUTAMATESYN-RXN	15501|15502|15503|15504	L-glutamate:NADP+ oxidoreductase (transaminating)||2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+||2 keggC:C00025@IN + 1 keggC:C00006@IN <=> 1 keggC:C00064@IN + 1 keggC:C00026@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	bigg(4),seed(3),rhea(4)
R00115	MNXR100098	1.6.4.2|1.8.1.7|1.8.4.2	GDR_nadp_h|GTHOm|GTHOr|R_GDR_nadp_h|R_GTHOm|R_GTHOr	rxn00086|rxn19841|rxn19842|rxn32133	GLUTATHIONE-REDUCT-NADPH-RXN	11740|11741|11742|11743	glutathione:NADP+ oxidoreductase||2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+||2 keggC:C00051@IN + 1 keggC:C00006@IN <=> 1 keggC:C00127@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	bigg(6),seed(4),rhea(4),ec(3)
R00118	MNXR101798	3.1.3|3.1.3.-|3.1.3.1|3.1.3.108|3.1.3.2	NADPPPS|NADPPPSm|R_NADPPPS|R_NADPPPSm	rxn00088|rxn30204|rxn30737|rxn32045|rxn38392|rxn38393	RXN-5822	28050|28051|28052|28053	NADP+ 2'-phosphohydrolase||NADP+ + H2O <=> Orthophosphate + NAD+||1 keggC:C00006@IN + 1 keggC:C00001@IN <=> 1 keggC:C00009@IN + 1 keggC:C00003@IN	bigg(4),seed(6),rhea(4),ec(5)
R00119	MNXR106397	2.4.99.20|3.2.2.5	NADPN|NADPNe|R_NADPN|R_NADPNe	rxn39259	RXN-13973	38599|38600|38601|38602	NADP+:nicotinate ADP-ribosyltransferase||NADP+ + Nicotinate <=> Nicotinamide + Nicotinic acid adenine dinucleotide phosphate||1 keggC:C00006@IN + 1 keggC:C00253@IN <=> 1 keggC:C00153@IN + 1 keggC:C13051@IN	rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:4)
R00120	MNXR106398	1.8.3.3		rxn00090	GLUTATHIONE-OXIDASE-RXN	24112|24113|24114|24115	glutathione:oxygen oxidoreductase||Oxygen + 2 Glutathione <=> Glutathione disulfide + Hydrogen peroxide||1 keggC:C00007@IN + 2 keggC:C00051@IN <=> 1 keggC:C00127@IN + 1 keggC:C00027@IN	rhea(4)
R00122	MNXR96129	3.1.3|3.1.3.2|3.1.4|3.6.1.15|3.6.1.5|3.6.1.53|3.6.1.6|3.6.1.9	ATPH2e|NDP1|R_ATPH2e|R_NDP1	rxn00092|rxn33337	RXN-10862	61436|61437|61438|61439	ADP phosphohydrolase||ADP + H2O <=> AMP + Orthophosphate||1 keggC:C00008@IN + 1 keggC:C00001@IN <=> 1 keggC:C00020@IN + 1 keggC:C00009@IN	bigg(4),seed(2),rhea(4),ec(8)
R00123	MNXR146858	3.5.4.17|3.5.4.7	AMPD2|AMPDA|AMPDg|ATPHs|R_AMPD2|R_AMPDA|R_AMPDg|R_ATPHs	rxn00093|rxn43829	ADP-DEAMINASE-RXN	12741|12742|12743|12744	ADP aminohydrolase||ADP + H2O <=> IDP + Ammonia||1 keggC:C00008@IN + 1 keggC:C00001@IN <=> 1 keggC:C00104@IN + 1 keggC:C00014@IN	seed(2),rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:8)
R00124#1	MNXR106400	2.7.4.6	ATDGDm|ATGDm|ATP1ter|ATPt|ATPt_h|ATPtg|ATPtm|NDPK1|NDPK10|NDPK10_1|NDPK10m|NDPK10n|NDPK1m|NDPK1n|NDPK2|NDPK2m|NDPK2n|NDPK3|NDPK3m|NDPK3n|NDPK4|NDPK4m|NDPK4n|NDPK5|NDPK5m|NDPK5n|NDPK6|NDPK6m|NDPK6n|NDPK7|NDPK7m|NDPK7n|NDPK8|NDPK8m|NDPK8n|NDPK9|NDPK9m|NDPK9n|NDPKn10|R_ATDGDm|R_ATGDm|R_ATP1ter|R_ATPt|R_ATPt_h|R_ATPtg|R_ATPtm|R_NDPK1|R_NDPK10|R_NDPK10_1|R_NDPK10m|R_NDPK10n|R_NDPK1m|R_NDPK1n|R_NDPK2|R_NDPK2m|R_NDPK2n|R_NDPK3|R_NDPK3m|R_NDPK3n|R_NDPK4|R_NDPK4m|R_NDPK4n|R_NDPK5|R_NDPK5m|R_NDPK5n|R_NDPK6|R_NDPK6m|R_NDPK6n|R_NDPK7|R_NDPK7m|R_NDPK7n|R_NDPK8|R_NDPK8m|R_NDPK8n|R_NDPK9|R_NDPK9m|R_NDPK9n|R_NDPKn10|R_r0859|R_r0860|r0859|r0860				ATP:ADP phosphatransferase||ATP + ADP <=> ADP + ATP||1 keggC:C00002@IN + 1 keggC:C00008@IN <=> 1 keggC:C00008@OUT + 1 keggC:C00002@OUT	ec_fallback(participants>=0.50,bigg:82)
R00124#2	MNXR96123	2.7.4.6	ATP1ter|ATPt|ATPt_h|ATPtg|ATPtm|R_ATP1ter|R_ATPt|R_ATPt_h|R_ATPtg|R_ATPtm|R_r0859|R_r0860|r0859|r0860	rxn29240|rxn34160		34999|35000|35001|35002	ATP:ADP phosphatransferase||ATP + ADP <=> ADP + ATP||1 keggC:C00002@IN + 1 keggC:C00008@OUT <=> 1 keggC:C00008@IN + 1 keggC:C00002@OUT	bigg(14),seed(2),rhea(4)
R00125	MNXR190680	3.6.1.41	AP4AH|BTPS|R_AP4AH|R_BTPS	rxn00095|rxn35438	3.6.1.41-RXN	24252|24253|24254|24255	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase||P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> 2 ADP||1 keggC:C01260@IN + 1 keggC:C00001@IN <=> 2 keggC:C00008@IN	bigg(4),seed(2),rhea(4)
R00126	MNXR190577	2.7.7.53	ADATT|ATPATF1|R_ADATT|R_ATPATF1	rxn00096|rxn35428	ATP-ADENYLYLTRANSFERASE-RXN	16577|16578|16579|16580	ADP:ATP adenylyltransferase||ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate||1 keggC:C00008@IN + 1 keggC:C00002@IN <=> 1 keggC:C00009@IN + 1 keggC:C01260@IN	bigg(4),seed(2),rhea(4)
R00127	MNXR95450	2.7.4.10|2.7.4.3|2.7.4.4|2.7.4.8	ADK1|ADK1g|ADK1m|ATAMh|R_ADK1|R_ADK1g|R_ADK1m|R_ATAMh	rxn00097|rxn27684|rxn27685	ADENYL-KIN-RXN	12973|12974|12975|12976	ATP:AMP phosphotransferase||ATP + AMP <=> 2 ADP||1 keggC:C00002@IN + 1 keggC:C00020@IN <=> 2 keggC:C00008@IN	bigg(8),seed(3),rhea(4),ec(4)
R00128	MNXR106401	3.6.1.14		rxn00098	ADENOSINE-TETRAPHOSPHATASE-RXN	24500|24501|24502|24503	adenosine-tetraphosphate phosphohydrolase||Adenosine tetraphosphate + H2O <=> ATP + Orthophosphate||1 keggC:C03483@IN + 1 keggC:C00001@IN <=> 1 keggC:C00002@IN + 1 keggC:C00009@IN	rhea(4)
R00129	MNXR106402	4.2.1.93		rxn00099	4.2.1.93-RXN	19017|19018|19019|19020	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)||ATP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> ADP + Orthophosphate + NADH||1 keggC:C00002@IN + 1 keggC:C04856@IN <=> 1 keggC:C00008@IN + 1 keggC:C00009@IN + 1 keggC:C00004@IN	rhea(4)
R00130	MNXR190944	2.7.1.24	DPCOAK|DPCOAK_1|DPCOAKc|DPCOAKm|R_DPCOAK|R_DPCOAK_1|R_DPCOAKc|R_DPCOAKm	rxn00100|rxn30214|rxn33067	DEPHOSPHOCOAKIN-RXN	18245|18246|18247|18248	ATP:dephospho-CoA 3'-phosphotransferase||ATP + Dephospho-CoA <=> ADP + CoA||1 keggC:C00002@IN + 1 keggC:C00882@IN <=> 1 keggC:C00008@IN + 1 keggC:C00010@IN	bigg(8),seed(3),rhea(4)
R00131	MNXR195605	3.5.1.5	R_UREA|R_UREASE_m|R_UREA_1|UREA|UREASE_m|UREA_1	rxn00101|rxn30324	UREASE-RXN		urea amidohydrolase||Urea + H2O <=> CO2 + 2 Ammonia||1 keggC:C00086@IN + 1 keggC:C00001@IN <=> 1 keggC:C00011@IN + 2 keggC:C00014@IN	bigg(6),seed(2)
R00132	MNXR100482	4.2.1.1	H2CO3D|H2CO3Dm|HCO3E|HCO3E_1_cx|HCO3Ee|HCO3Ehi|HCO3Em|HCO3En|R_H2CO3D|R_H2CO3Dm|R_HCO3E|R_HCO3E_1_cx|R_HCO3Ee|R_HCO3Ehi|R_HCO3Em|R_HCO3En	rxn00102|rxn26146|rxn27740|rxn27741|rxn30392|rxn37640	RXN0-5224	10748|10749|10750|10751	carbonate hydro-lyase (carbon-dioxide-forming)||Carbonic acid <=> CO2 + H2O||carbonic acid hydro-lyase||1 keggC:C01353@IN <=> 1 keggC:C00011@IN + 1 keggC:C00001@IN	kegg(2),bigg(16),seed(6),rhea(4)
R00134	MNXR106403	1.17.1.10|1.2.1.43	FDH6r|R_FDH6r	rxn00103|rxn33750	FORMATE-DEHYDROGENASE-NADP+-RXN	12000|12001|12002|12003	formate:NADP+ oxidoreductase||Formate + NADP+ <=> CO2 + NADPH + H+||1 keggC:C00058@IN + 1 keggC:C00006@IN <=> 1 keggC:C00011@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	bigg(2),seed(2),rhea(4),ec(2)
R00137	MNXR95841	2.7.7.1|2.7.7.18	ANNAT|ANNATn|NMNAT|NMNATm|NMNATn|R_ANNAT|R_ANNATn|R_NMNAT|R_NMNATm|R_NMNATn	rxn00105|rxn30218|rxn31803|rxn31815|rxn31816|rxn35311	2.7.7.1-RXN	21360|21361|21362|21363	ATP:nicotinamide-nucleotide adenylyltransferase||ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+||1 keggC:C00002@IN + 1 keggC:C00455@IN <=> 1 keggC:C00013@IN + 1 keggC:C00003@IN	bigg(10),seed(6),rhea(4),ec(2)
R00138	MNXR103069	2.5.1.6|3.6.1.1|3.6.1.25|3.6.1.28	PPA2|PPA2m|R_PPA2|R_PPA2m	rxn00106	TRIPHOSPHATASE-RXN	14157|14158|14159|14160	triphosphate phosphohydrolase||Triphosphate + H2O <=> Diphosphate + Orthophosphate||1 keggC:C00536@IN + 1 keggC:C00001@IN <=> 1 keggC:C00013@IN + 1 keggC:C00009@IN	bigg(4),rhea(4),ec(4)
R00139	MNXR106405	2.7.4.6		rxn00107			ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase||2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP||1 keggC:C11038@IN + 1 keggC:C00002@IN <=> 1 keggC:C11039@IN + 1 keggC:C00008@IN	
R00140	MNXR106406	2.7.4.12	DGK1|DGK1er|DTMPK|DTMPKm|R_DGK1|R_DGK1er|R_DTMPK|R_DTMPKm	rxn00108		62120|62121|62122|62123	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase||2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ADP <=> 5-Hydroxymethyldeoxycytidylate + ATP||1 keggC:C11038@IN + 1 keggC:C00008@IN <=> 1 keggC:C03997@IN + 1 keggC:C00002@IN	rhea(4),ec_fallback(participants>=0.50,bigg:8)
R00141	MNXR106407	2.7.3.8		rxn14341|rxn46156	AMMONIA-KINASE-RXN	11024|11025|11026|11027	ATP:ammonia phosphotransferase||ATP + Ammonia <=> ADP + Phosphoramidate||1 keggC:C00002@IN + 1 keggC:C00014@IN <=> 1 keggC:C00008@IN + 1 keggC:C02306@IN	seed(2),rhea(4)
R00143	MNXR145168	1.7.1.10|1.7.99.1	HAMR|R_HAMR	rxn00109|rxn27936|rxn47143	HYDROXYLAMINE-REDUCTASE-NADH-RXN	20581|20582|20583|20584	ammonia:NAD+ oxidoreductase||Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+||NADH:hydroxylamine oxidoreductase||1 keggC:C00014@IN + 1 keggC:C00003@IN + 1 keggC:C00001@IN <=> 1 keggC:C00192@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	bigg(2),seed(3),rhea(4),ec(2)
R00145	MNXR146860	1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4	ALAD_L|ALAD_L2|GDH|GDH1|GDHm|GLUDxi|GLYDHDA|GOR1|R_ALAD_L|R_ALAD_L2|R_GDH|R_GDH1|R_GDHm|R_GLUDxi|R_GLYDHDA|R_GOR1				alpha-amino acid:NAD+ oxidoreductase (deaminating)||alpha-Amino acid + H2O + NAD+ <=> 2-Oxo acid + Ammonia + NADH + H+||1 keggC:C05167@IN + 1 keggC:C00001@IN + 1 keggC:C00003@IN <=> 1 keggC:C00161@IN + 1 keggC:C00014@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	ec(4),ec_fallback(participants>=0.50,bigg:16)
R00146	MNXR146862	1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4	GDH_nadp|GLUDy|GLUDy_1|GLUDym|R_GDH_nadp|R_GLUDy|R_GLUDy_1|R_GLUDym				alpha-amino acid:NADP+ oxidoreductase (deaminating)||alpha-Amino acid + H2O + NADP+ <=> 2-Oxo acid + Ammonia + NADPH + H+||1 keggC:C05167@IN + 1 keggC:C00001@IN + 1 keggC:C00006@IN <=> 1 keggC:C00161@IN + 1 keggC:C00014@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	ec(4),ec_fallback(participants>=0.50,bigg:8)
R00148	MNXR143456	1.14.99.39					ammonia,ubiquinol:oxygen oxidoreductase||Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone||ammonia monooxygenase||1 keggC:C00014@IN + 1 keggC:C00007@IN + 1 keggC:C00390@IN <=> 1 keggC:C00192@IN + 1 keggC:C00001@IN + 1 keggC:C00399@IN	
